candidate_id,rank,score,reasoning
CAND_0007411,18,0.6286,"Senior Machine Learning Engineer (8.0 yrs); hands-on with Pinecone, OpenSearch, PyTorch, TensorFlow; production deployment experience at product companies; based in Kochi. inactive for 207 days — likely passive; low response rate (12%) — availability concern; immediately available (15d notice)."
CAND_0079387,19,0.6272,"AI Engineer (6.9 yrs); hands-on with OpenSearch, LoRA, QLoRA, BM25; production deployment experience at product companies; based in Trivandrum. actively open to work; high recruiter response rate (81%); short notice (30d)."
CAND_0072660,20,0.6243,"Machine Learning Engineer (7.1 yrs); hands-on with FAISS, Elasticsearch, OpenSearch, PyTorch; production deployment experience at product companies; based in Berlin. actively open to work; short notice (30d)."
CAND_0064270,21,0.6232,"Applied ML Engineer (4.2 yrs); hands-on with Elasticsearch, OpenSearch, PyTorch, PEFT; production deployment experience at product companies; based in Pune (Tier-1). high recruiter response rate (82%)."
CAND_0006557,22,0.6223,"NLP Engineer (7.9 yrs); hands-on with FAISS, Pinecone, Weaviate, Qdrant; production deployment experience at product companies; based in Jaipur. actively open to work; long notice period (120d) reduces urgency."
CAND_0040117,23,0.6221,"Recommendation Systems Engineer (6.5 yrs); hands-on with FAISS, RAG, LoRA, QLoRA; production deployment experience at product companies; based in Vizag. actively open to work; immediately available (15d notice)."
CAND_0093547,24,0.6214,"Senior Machine Learning Engineer (2.9 yrs); hands-on with FAISS, Weaviate, Milvus, PyTorch; production deployment experience at product companies; based in Coimbatore."
CAND_0020708,25,0.6212,"Search Engineer (4.2 yrs); hands-on with Milvus, Elasticsearch, TensorFlow, Python; product-company background; based in Indore. actively open to work; high recruiter response rate (84%); short notice (30d)."
CAND_0022812,26,0.6189,"Applied ML Engineer (4.5 yrs); hands-on with Pinecone, Weaviate, Qdrant, TensorFlow; production deployment experience at product companies; based in Coimbatore."
CAND_0042029,27,0.6187,"Senior Data Scientist (6.5 yrs); hands-on with Weaviate, Elasticsearch, OpenSearch, PyTorch; production deployment experience at product companies; based in Delhi (Tier-1)."
CAND_0064326,28,0.6187,"Search Engineer (7.6 yrs); hands-on with Weaviate, Milvus, PyTorch, RAG; production deployment experience at product companies; based in Gurgaon (Tier-1). actively open to work; high recruiter response rate (94%)."
CAND_0002025,29,0.6171,"Senior AI Engineer (5.9 yrs); hands-on with FAISS, Pinecone, Weaviate, OpenSearch; production deployment experience at product companies; based in Trivandrum. actively open to work; high recruiter response rate (80%); short notice (30d)."
CAND_0052682,30,0.6164,"NLP Engineer (6.6 yrs); hands-on with FAISS, PyTorch, QLoRA, embeddings; production deployment experience at product companies; based in Vizag. actively open to work; high recruiter response rate (88%); short notice (30d)."
CAND_0029367,31,0.6146,"Senior Data Scientist (5.7 yrs); hands-on with FAISS, Pinecone, PyTorch, TensorFlow; product-company background; based in Bangalore (Tier-1). actively open to work; long notice period (90d) reduces urgency."
CAND_0052328,32,0.6137,"Recommendation Systems Engineer (6.5 yrs); hands-on with OpenSearch, LoRA, QLoRA, vector search; production deployment experience at product companies; based in Pune (Tier-1). actively open to work; short notice (30d)."
CAND_0041611,33,0.6099,"Staff Machine Learning Engineer (6.4 yrs); hands-on with Weaviate, Qdrant, OpenSearch, PyTorch; production deployment experience at product companies; based in Austin. inactive for 206 days — likely passive; low response rate (7%) — availability concern; short notice (30d)."
CAND_0042100,34,0.6094,"Machine Learning Engineer (7.3 yrs); hands-on with Pinecone, Elasticsearch, PyTorch, QLoRA; production deployment experience at product companies; based in Singapore. actively open to work; high recruiter response rate (87%); long notice period (90d) reduces urgency."
CAND_0042506,35,0.6084,"Search Engineer (4.2 yrs); hands-on with FAISS, Qdrant, Milvus, TensorFlow; production deployment experience at product companies; based in Mumbai (Tier-1). actively open to work; immediately available (15d notice)."
CAND_0024620,36,0.6072,"AI Engineer (5.9 yrs); hands-on with Elasticsearch, PEFT, QLoRA, BM25; production deployment experience at product companies; based in New York. actively open to work."
CAND_0099401,37,0.6067,"NLP Engineer (7.7 yrs); hands-on with Qdrant, BM25, IR, embeddings; production deployment experience at product companies; based in Ahmedabad. long notice period (90d) reduces urgency."
CAND_0070398,38,0.6056,"Machine Learning Engineer (7.2 yrs); hands-on with FAISS, PyTorch, RAG, LoRA; production deployment experience at product companies; based in Kochi. actively open to work; long notice period (120d) reduces urgency."
CAND_0056881,39,0.6055,"Machine Learning Engineer (4.5 yrs); hands-on with Pinecone, Elasticsearch, PyTorch, IR; production deployment experience at product companies; based in Trivandrum. long notice period (90d) reduces urgency."
CAND_0008425,40,0.6034,"Senior NLP Engineer (7.8 yrs); hands-on with Qdrant, TensorFlow, LoRA, IR; production deployment experience at product companies; based in Kolkata. actively open to work; long notice period (90d) reduces urgency."
CAND_0094056,41,0.6017,"NLP Engineer (5.9 yrs); hands-on with Pinecone, Milvus, PEFT, BM25; production deployment experience at product companies; based in Chennai. high recruiter response rate (82%); long notice period (120d) reduces urgency."
CAND_0074225,42,0.6009,"Machine Learning Engineer (4.3 yrs); hands-on with Qdrant, Milvus, Elasticsearch, QLoRA; production deployment experience at product companies; based in Vizag. actively open to work; high recruiter response rate (91%); long notice period (120d) reduces urgency."
CAND_0083307,43,0.6009,"Search Engineer (7.8 yrs); hands-on with Pinecone, Weaviate, PEFT, QLoRA; product-company background; based in Vizag. actively open to work; long notice period (120d) reduces urgency."
CAND_0012957,44,0.6003,"Search Engineer (4.9 yrs); hands-on with Qdrant, RAG, PEFT, BM25; production deployment experience at product companies; based in Chennai. long notice period (120d) reduces urgency."
CAND_0070202,45,0.6000,"Machine Learning Engineer (5.1 yrs); hands-on with Qdrant, PyTorch, RAG, LoRA; production deployment experience at product companies; based in Jaipur. long notice period (90d) reduces urgency."
CAND_0083879,46,0.5995,Machine Learning Engineer (7.1 yrs); hands-on with Milvus; production deployment experience at product companies; based in Noida (Tier-1). actively open to work; short notice (30d).
CAND_0045250,47,0.5994,"Applied ML Engineer (6.6 yrs); hands-on with Qdrant, Milvus, TensorFlow, LoRA; production deployment experience at product companies; based in Delhi (Tier-1). immediately available (15d notice)."
CAND_0010685,48,0.5992,"NLP Engineer (6.7 yrs); hands-on with Elasticsearch, PyTorch, RAG, IR; production deployment experience at product companies; based in Kolkata. actively open to work; high recruiter response rate (83%); short notice (30d)."
CAND_0068351,49,0.5986,"Lead AI Engineer (6.4 yrs); hands-on with Qdrant, Elasticsearch, LoRA, PEFT; production deployment experience at product companies; based in Delhi (Tier-1). high recruiter response rate (86%); long notice period (90d) reduces urgency."
CAND_0060054,50,0.5983,"AI Engineer (6.4 yrs); hands-on with FAISS, Weaviate, Elasticsearch, TensorFlow; production deployment experience at product companies; based in Jaipur. high recruiter response rate (86%); immediately available (15d notice)."
CAND_0032515,51,0.5982,"Machine Learning Engineer (5.1 yrs); hands-on with Milvus, Elasticsearch, PyTorch, QLoRA; production deployment experience at product companies; based in Seattle."
CAND_0046525,52,0.5982,"Senior Machine Learning Engineer (6.1 yrs); hands-on with Qdrant, Elasticsearch, TensorFlow, IR; production deployment experience at product companies; based in Pune (Tier-1). actively open to work; high recruiter response rate (88%)."
CAND_0075249,53,0.5982,"Applied ML Engineer (6.2 yrs); hands-on with Pinecone, Milvus, BM25; production deployment experience at product companies; based in Ahmedabad. actively open to work; high recruiter response rate (82%)."
CAND_0020350,54,0.5977,"AI Engineer (5.8 yrs); hands-on with FAISS, LoRA, PEFT, BM25; production deployment experience at product companies; based in Jaipur. actively open to work; short notice (30d)."
CAND_0055905,55,0.5959,"Senior Machine Learning Engineer (8.1 yrs); hands-on with Elasticsearch, OpenSearch, IR, vector search; production deployment experience at product companies; based in London. actively open to work; high recruiter response rate (87%); short notice (30d)."
CAND_0092278,56,0.5959,"Senior NLP Engineer (6.8 yrs); hands-on with Milvus, Elasticsearch, TensorFlow, PEFT; production deployment experience at product companies; based in Pune (Tier-1). inactive for 232 days — likely passive; low response rate (7%) — availability concern; long notice period (90d) reduces urgency."
CAND_0064904,57,0.5957,"AI Engineer (4.9 yrs); hands-on with Weaviate, Elasticsearch, OpenSearch, TensorFlow; production deployment experience at product companies; based in Hyderabad (Tier-1). actively open to work; long notice period (90d) reduces urgency."
CAND_0061265,58,0.5955,"Recommendation Systems Engineer (6.6 yrs); hands-on with Qdrant, Milvus, QLoRA, vector search; production deployment experience at product companies; based in Delhi (Tier-1). actively open to work; high recruiter response rate (94%); long notice period (120d) reduces urgency."
CAND_0067866,59,0.5947,"Senior Software Engineer (ML) (6.4 yrs); hands-on with Qdrant, Elasticsearch, LoRA, PEFT; production deployment experience at product companies; based in Noida (Tier-1). actively open to work."
CAND_0027691,60,0.5943,"NLP Engineer (6.5 yrs); hands-on with Weaviate, TensorFlow, LoRA, PEFT; production deployment experience at product companies; based in Pune (Tier-1). actively open to work; immediately available (15d notice)."
CAND_0078002,61,0.5933,"Machine Learning Engineer (6.3 yrs); hands-on with Weaviate, TensorFlow, QLoRA, NLP; production deployment experience at product companies; based in Coimbatore. actively open to work; high recruiter response rate (86%)."
CAND_0030031,62,0.5898,"AI Engineer (5.7 yrs); hands-on with Milvus, PyTorch, RAG, LoRA; production deployment experience at product companies; based in Trivandrum. high recruiter response rate (94%); short notice (30d)."
CAND_0051630,63,0.5874,"Machine Learning Engineer (6.0 yrs); hands-on with Elasticsearch, OpenSearch, LoRA, IR; product-company background; based in Kolkata. long notice period (90d) reduces urgency."
CAND_0088025,64,0.5852,"Staff Machine Learning Engineer (8.6 yrs); hands-on with Pinecone, Elasticsearch, TensorFlow, RAG; production deployment experience at product companies; based in Jaipur. actively open to work; high recruiter response rate (83%); long notice period (90d) reduces urgency."
CAND_0092245,65,0.5843,"Senior Data Scientist (4.1 yrs); hands-on with FAISS, Qdrant, Elasticsearch, RAG; production deployment experience at product companies; based in Coimbatore. actively open to work."
CAND_0061339,66,0.5838,"Search Engineer (4.2 yrs); hands-on with Milvus, OpenSearch, TensorFlow, IR; production deployment experience at product companies; based in Chandigarh. actively open to work; high recruiter response rate (90%); long notice period (90d) reduces urgency."
CAND_0014440,67,0.5816,"Recommendation Systems Engineer (6.4 yrs); hands-on with FAISS, Qdrant, Milvus, Elasticsearch; production deployment experience at product companies; based in Chennai. actively open to work."
CAND_0043228,68,0.5807,"Applied ML Engineer (6.8 yrs); hands-on with Weaviate, OpenSearch, vector search, NLP; production deployment experience at product companies; based in Chennai. short notice (30d)."
CAND_0095619,69,0.5803,"NLP Engineer (15.6 yrs); hands-on with Pinecone, Weaviate, Elasticsearch, BM25; product-company background; based in Mumbai (Tier-1). actively open to work; high recruiter response rate (90%); short notice (30d)."
CAND_0095528,70,0.5798,"Senior Data Scientist (5.3 yrs); hands-on with Qdrant, Elasticsearch, OpenSearch, PyTorch; production deployment experience at product companies; based in Indore. actively open to work."
CAND_0075574,71,0.5787,"Machine Learning Engineer (5.7 yrs); hands-on with Weaviate, Qdrant, Elasticsearch, OpenSearch; production deployment experience at product companies; based in Bangalore (Tier-1). actively open to work."
CAND_0069905,72,0.5783,"Applied ML Engineer (6.6 yrs); hands-on with Weaviate, TensorFlow, LoRA, Python; product-company background; based in Bhubaneswar. actively open to work; long notice period (90d) reduces urgency."
CAND_0058688,73,0.5780,"AI Engineer (6.7 yrs); hands-on with Milvus, TensorFlow, QLoRA, IR; production deployment experience at product companies; based in Berlin. actively open to work; immediately available (15d notice)."
CAND_0060257,74,0.5779,"AI Specialist (5.8 yrs); hands-on with Weaviate, Milvus, OpenSearch, vector search; production deployment experience at product companies; based in Gurgaon (Tier-1). actively open to work."
CAND_0044855,75,0.5777,"Senior Data Scientist (6.6 yrs); hands-on with Pinecone, Qdrant, OpenSearch, QLoRA; production deployment experience at product companies; based in Coimbatore."
CAND_0050454,76,0.5777,"AI Engineer (6.8 yrs); hands-on with FAISS, Qdrant, PyTorch, LoRA; product-company background; based in Delhi (Tier-1). actively open to work; short notice (30d)."
CAND_0011162,77,0.5771,"Recommendation Systems Engineer (5.8 yrs); hands-on with FAISS, Pinecone, Weaviate, Milvus; production deployment experience at product companies; based in Coimbatore. actively open to work; long notice period (90d) reduces urgency."
CAND_0065195,78,0.5768,"Search Engineer (5.1 yrs); hands-on with Qdrant, Elasticsearch, QLoRA; production deployment experience at product companies; based in Kolkata. actively open to work; high recruiter response rate (80%)."
CAND_0033911,79,0.5762,"Data Scientist (6.9 yrs); hands-on with FAISS, BM25; production deployment experience at product companies; based in Delhi (Tier-1). long notice period (120d) reduces urgency."
CAND_0049538,80,0.5754,"Applied ML Engineer (5.8 yrs); hands-on with Milvus, Elasticsearch, OpenSearch, PyTorch; production deployment experience at product companies; based in Jaipur. short notice (30d)."
CAND_0093331,81,0.5751,"NLP Engineer (16.1 yrs); hands-on with Milvus, PyTorch, PEFT, QLoRA; production deployment experience at product companies; based in Kochi. short notice (30d)."
CAND_0036437,82,0.5742,"Search Engineer (4.8 yrs); hands-on with FAISS, Weaviate, Milvus, Elasticsearch; production deployment experience at product companies; based in Kolkata. high recruiter response rate (87%); short notice (30d)."
CAND_0027723,83,0.5739,"ML Engineer (4.2 yrs); hands-on with Pinecone, Elasticsearch, vector search, NLP; production deployment experience at product companies; based in Ahmedabad. actively open to work; short notice (30d)."
CAND_0081686,84,0.5737,"Search Engineer (6.0 yrs); hands-on with FAISS, Milvus, QLoRA, embeddings; production deployment experience at product companies; based in Austin. high recruiter response rate (91%)."
CAND_0051004,85,0.5735,"Senior Data Scientist (4.7 yrs); hands-on with Qdrant, PyTorch, LoRA, PEFT; product-company background; based in Delhi (Tier-1). actively open to work; immediately available (15d notice)."
CAND_0037944,86,0.5733,"Senior Data Scientist (4.9 yrs); hands-on with OpenSearch, PEFT, QLoRA, BM25; production deployment experience at product companies; based in Jaipur. actively open to work; short notice (30d)."
CAND_0007412,87,0.5726,"Applied ML Engineer (7.4 yrs); hands-on with Pinecone, Milvus, PyTorch, RAG; production deployment experience at product companies; based in Noida (Tier-1). actively open to work; long notice period (120d) reduces urgency."
CAND_0071974,88,0.5722,"Senior AI Engineer (7.8 yrs); hands-on with Pinecone, Weaviate, Qdrant, Elasticsearch; production deployment experience at product companies; based in Vizag. actively open to work."
CAND_0046064,89,0.5721,"Senior NLP Engineer (8.9 yrs); hands-on with Pinecone, Elasticsearch, OpenSearch, PEFT; production deployment experience at product companies; based in Coimbatore. actively open to work; short notice (30d)."
CAND_0065878,90,0.5720,"Senior Data Scientist (7.8 yrs); hands-on with TensorFlow, RAG, QLoRA, vector search; production deployment experience at product companies; based in Trivandrum. actively open to work; immediately available (15d notice)."
CAND_0061655,91,0.5719,"Machine Learning Engineer (4.6 yrs); hands-on with Pinecone, Qdrant, Elasticsearch, OpenSearch; production deployment experience at product companies; based in Jaipur. high recruiter response rate (88%); immediately available (15d notice)."
CAND_0005538,92,0.5706,"Senior AI Engineer (5.9 yrs); hands-on with PyTorch, LoRA, QLoRA, Python; production deployment experience at product companies; based in Kolkata. actively open to work; high recruiter response rate (81%); long notice period (90d) reduces urgency."
CAND_0081053,93,0.5706,"NLP Engineer (5.4 yrs); hands-on with Weaviate, Qdrant, OpenSearch, LoRA; production deployment experience at product companies; based in Chandigarh. actively open to work; high recruiter response rate (83%); long notice period (90d) reduces urgency."
CAND_0000031,94,0.5704,"Recommendation Systems Engineer (6.0 yrs); hands-on with FAISS, Pinecone, IR, embeddings; production deployment experience at product companies; based in Hyderabad (Tier-1). actively open to work; high recruiter response rate (91%)."
CAND_0009691,95,0.5702,"Applied ML Engineer (6.2 yrs); hands-on with FAISS, Pinecone, Qdrant, LoRA; production deployment experience at product companies; based in Indore. actively open to work; long notice period (120d) reduces urgency."
CAND_0076251,96,0.5692,"Search Engineer (7.6 yrs); hands-on with Weaviate, Elasticsearch, PEFT; production deployment experience at product companies; based in Bhubaneswar. actively open to work."
CAND_0011125,97,0.5691,"Junior ML Engineer (6.6 yrs); hands-on with Weaviate, Milvus, PyTorch, PEFT; production deployment experience at product companies; based in Bangalore (Tier-1). long notice period (120d) reduces urgency."
CAND_0043693,98,0.5690,"Data Engineer (6.7 yrs); hands-on with Weaviate, vector search; product-company background; based in Noida (Tier-1). actively open to work; long notice period (120d) reduces urgency."
CAND_0030348,99,0.5681,"Machine Learning Engineer (4.5 yrs); hands-on with Elasticsearch, PyTorch, vector search, embeddings; production deployment experience at product companies; based in Noida (Tier-1). actively open to work."
CAND_0040332,100,0.5680,"Analytics Engineer (4.5 yrs); hands-on with OpenSearch, BM25, vector search, Python; product-company background; based in Vizag. actively open to work; short notice (30d)."
